Ticker,YearMonth,ret_1m,ret_3m,ret_6m,ret_12m,momentum_accel,vol_1m,vol_3m,vol_6m,downside_vol_3m,avg_volume_1m,avg_volume_3m,volume_change_1m,volume_ratio_1m_3m,Log_Volume,log_volume_change_1m,market_cap_1m,log_market_cap_1m,market_cap_3m_avg,market_cap_change_1m,market_cap_ratio_1m_3m,log_market_cap_change_1m,ret_1m_rank,ret_3m_rank,ret_6m_rank,ret_12m_rank,vol_1m_rank,vol_3m_rank,vol_6m_rank,avg_volume_1m_rank,volume_ratio_1m_3m_rank,Log_Volume_rank,market_cap_1m_rank,market_cap_ratio_1m_3m_rank,log_market_cap_1m_rank,future_return_1m,label_top20
AAPL,12/31/2019,0.111636848,0.286282235,0.482571498,0.757847437,0.074424565,0.010571008,0.037551401,0.042412323,0,113752133.3,103070069.1,0.26861634,1.103638858,18.54953237,0.237926811,1.03921E+12,27.66948304,9.54236E+11,0.098784207,1.089050933,0.094204302,0.929292929,0.95959596,0.95959596,0.959183674,0.656565657,0.606060606,0.404040404,0.97979798,0.848484849,0.97979798,0.98989899,0.97979798,0.98989899,0.030497764,0
AAPL,1/31/2020,0.030497764,0.196721779,0.445387751,0.718729973,0.020331843,0.017839596,0.043335753,0.045146874,0,139731923.8,114383452.4,0.228389479,1.221609603,18.75523632,0.205703945,1.09534E+12,27.72208484,1.02678E+12,0.054009861,1.066773208,0.052601805,0.686868687,0.939393939,0.96969697,0.969387755,0.808080808,0.444444444,0.393939394,0.97979798,0.868686869,0.97979798,0.98989899,0.909090909,0.98989899,-0.114365379,0
AAPL,2/29/2020,-0.114365379,0.014529252,0.278184298,0.463882331,-0.076243586,0.024245855,0.114488637,0.084722058,0.066028882,158909431.6,137464496.2,0.137244999,1.156003448,18.88384499,0.12860867,9.69702E+11,27.6002543,1.03475E+12,-0.114701628,0.937135689,-0.121830547,0.303030303,0.828282828,0.94949495,0.959183674,0.777777778,0.909090909,0.747474748,0.97979798,0.484848485,0.97979798,0.97979798,0.444444444,0.97979798,-0.148991013,0
AAPL,3/31/2020,-0.148991013,-0.223331331,-0.000984889,0.147531509,-0.099327342,0.0647649,0.095219471,0.111434011,0.077970824,285457836.4,194699730.6,0.796355531,1.466143972,19.20517668,0.321331695,9.02054E+11,27.52794025,9.89031E+11,-0.069761289,0.912057934,-0.072314047,0.535353535,0.494949495,0.848484849,0.918367347,0.707070707,0.747474748,0.848484849,0.97979798,0.474747475,0.98989899,0.97979798,0.575757576,0.97979798,0.219542499,0
AAPL,4/30/2020,0.219542499,-0.080851525,0.099964999,0.333699103,0.146361666,0.030571298,0.203515091,0.138172113,0.077970824,155490438.1,199952568.7,-0.455294554,0.777636612,18.8620948,-0.343081884,1.04221E+12,27.6723641,9.71322E+11,0.15537371,1.072980735,0.14442385,0.777777778,0.616161616,0.858585859,0.95959596,0.363636364,0.767676768,0.777777778,0.97979798,0.090909091,0.97979798,0.97979798,0.828282828,0.97979798,0.099871984,0
AAPL,5/31/2020,0.099871984,0.141492928,0.158077967,0.763931108,0.066581323,0.012015933,0.188003002,0.141631394,0.086020002,140296800,193748358.2,-0.097714292,0.724118652,18.75927074,-0.10282406,1.1309E+12,27.75403099,1.02505E+12,0.085094296,1.103255681,0.081666892,0.656565657,0.737373737,0.858585859,0.96969697,0.070707071,0.707070707,0.737373737,0.97979798,0.343434343,0.97979798,0.97979798,0.818181818,0.97979798,0.133447199,1
AAPL,6/30/2020,0.133447199,0.520338776,0.180799493,0.750619673,0.088964799,0.01988891,0.06172618,0.144306938,0,147426163.6,147737800.6,0.050816295,0.997890608,18.80883802,0.049567286,1.29757E+12,27.89151757,1.15689E+12,0.147386303,1.121602459,0.137486576,0.95959596,0.939393939,0.888888889,0.96969697,0.292929293,0.262626263,0.767676768,0.97979798,0.696969697,0.97979798,0.97979798,0.96969697,0.97979798,0.167339611,1
AAPL,7/31/2020,0.167339611,0.455260212,0.337600205,0.933350952,0.111559741,0.027289801,0.033733938,0.153648128,0,137285600,141669521.2,-0.068784016,0.969055297,18.73757399,-0.071264037,1.51184E+12,28.04435167,1.31344E+12,0.165131674,1.151058933,0.152834105,0.939393939,0.95959596,0.939393939,0.95959596,0.868686869,0.161616162,0.848484849,0.97979798,0.808080808,0.97979798,0.98989899,0.94949495,0.98989899,0.184532354,1
AAPL,8/31/2020,0.184532354,0.567275856,0.789034306,1.286715558,0.123021569,0.020065755,0.025993522,0.133092549,0,193812433.3,159508065.7,0.411746267,1.21506353,19.08240141,0.344827425,1.83926E+12,28.24038622,1.54956E+12,0.216568931,1.186957883,0.196034545,0.95959596,0.97979798,0.94949495,0.96969697,0.787878788,0.191919192,0.737373737,0.97979798,0.98989899,0.97979798,0.98989899,0.94949495,0.98989899,-0.13690562,0
AAPL,9/30/2020,-0.13690562,0.19344508,0.814440833,0.812653809,-0.091270413,0.034404988,0.180823635,0.128411045,0.079042497,185011671.4,172036568.3,-0.045408655,1.075420611,19.03592947,-0.046471941,1.65069E+12,28.13221495,1.66727E+12,-0.102526127,0.990058278,-0.10817127,0.02020202,0.878787879,0.94949495,0.96969697,0.96969697,0.96969697,0.898989899,0.97979798,0.464646465,0.97979798,0.98989899,0.353535354,0.98989899,-0.067899651,0
AAPL,10/31/2020,-0.067899651,-0.047054888,0.386783105,0.525412877,-0.045266434,0.027703521,0.169216879,0.133473027,0.068453555,131575750,170133284.9,-0.288824597,0.773368657,18.69509329,-0.340836181,1.55163E+12,28.07032682,1.68053E+12,-0.060011956,0.923298921,-0.061888123,0.28,0.373737374,0.878787879,0.919191919,0.93,0.97979798,0.94949495,0.99,0.080808081,0.99,0.99,0.141414141,0.99,0.094511416,0
AAPL,11/30/2020,0.094511416,-0.119475884,0.380024187,0.598175605,0.063007611,0.017815458,0.118808686,0.133197707,0.068453555,106153865,140913762.1,-0.193211021,0.753325036,18.48040016,-0.214693133,1.6998E+12,28.16153142,1.63404E+12,0.09549312,1.040243552,0.0912046,0.47,0.04040404,0.888888889,0.909090909,0.37,0.707070707,0.909090909,0.98,0.03030303,0.98,0.99,0.333333333,0.99,0.081241861,1
AAPL,12/31/2020,0.081241861,0.10307697,0.316461783,0.554477406,0.05416124,0.01788809,0.090181878,0.129284265,0.039201882,105554072.7,114427895.9,-0.005650216,0.922450526,18.47473392,-0.005666239,1.89455E+12,28.27000333,1.71533E+12,0.114573598,1.104484309,0.108471909,0.87,0.52,0.797979798,0.898989899,0.77,0.61,0.898989899,0.98,0.46,0.98,1,0.76,1,0.019704837,0
AAPL,1/31/2021,0.019704837,0.206750886,0.149967358,0.538196574,0.013136558,0.024178396,0.039914305,0.116800389,0,117908526.3,109872154.7,0.117043836,1.073142933,18.58541968,0.110685764,1.88413E+12,28.26448668,1.82616E+12,-0.005501466,1.031743572,-0.005516655,0.65,0.67,0.585858586,0.878787879,0.72,0.16,0.797979798,0.99,0.51,0.99,1,0.76,1,-0.096019065,0
